,mse_score,trial_id,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
237,0.03862604498800399,278d2_00237,0.15544857677627022,2,2,128,1,1
284,0.03863443618833559,278d2_00284,0.3894101729680821,2,4,128,1,3
291,0.03885503524058174,278d2_00291,0.7650486777749708,2,4,32,2,1
281,0.03895172599171777,278d2_00281,0.7598974234100764,2,4,64,1,3
270,0.038962295986247696,278d2_00270,0.1729769236273868,2,4,8,1,1
293,0.03897111774358686,278d2_00293,0.7588005871719855,2,4,32,2,3
273,0.03899880989510016,278d2_00273,0.20697272719549062,2,4,16,1,1
262,0.039011497246438875,278d2_00262,0.6110538916332195,2,2,32,3,2
196,0.03901973591901017,278d2_00196,0.17296394251916924,2,1,8,2,2
351,0.039043403815246874,278d2_00351,0.29506740679980326,2,8,32,3,1
296,0.039043520484015805,278d2_00296,0.44281634916122636,2,4,64,2,3
211,0.0390456148349732,278d2_00211,0.49600116517368675,2,1,8,3,2
338,0.039045750943530834,278d2_00338,0.8122186003746078,2,8,32,2,3
328,0.03904700709542227,278d2_00328,0.8927997580357819,2,8,128,1,2
167,0.03904775421689565,278d2_00167,0.2416836174858542,1,8,8,3,3
165,0.03904796589910506,278d2_00165,0.6167667660312394,1,8,8,3,1
337,0.03904933969495636,278d2_00337,0.8480177299417205,2,8,32,2,2
150,0.03904936447334298,278d2_00150,0.6080329762107166,1,8,8,2,1
170,0.03904959905946861,278d2_00170,0.2108432622730666,1,8,16,3,3
168,0.03905025356699395,278d2_00168,0.46481651538683966,1,8,16,3,1
353,0.03905055727181081,278d2_00353,0.1943506598996362,2,8,32,3,3
325,0.03905265466287353,278d2_00325,0.8050001263522413,2,8,64,1,2
169,0.03905307474689145,278d2_00169,0.46694824584191374,1,8,16,3,2
327,0.039055770465808035,278d2_00327,0.7613929301317682,2,8,128,1,1
336,0.039055829106931776,278d2_00336,0.5703216280023249,2,8,32,2,1
166,0.03905717526687726,278d2_00166,0.6912401064607951,1,8,8,3,2
326,0.03905850718784805,278d2_00326,0.3139773924123964,2,8,64,1,3
355,0.03906273719593893,278d2_00355,0.4943782056668442,2,8,64,3,2
127,0.03906343170829329,278d2_00127,0.4545813489226592,1,4,32,3,2
310,0.039064680004987105,278d2_00310,0.4416439878581334,2,4,64,3,2
