,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
782,0.026810780139407762,011e8_00782,2,2,0.01,0.20348197806978982,2,2,8,3,3
833,0.027088431079551487,011e8_00833,2,2,0.01,0.43482830404095185,2,4,32,1,3
835,0.027195682008778133,011e8_00835,2,2,0.01,0.8791923091222834,2,4,64,1,2
798,0.027218623021824595,011e8_00798,2,2,0.1,0.5498379255126151,2,2,16,3,1
797,0.02722441975076998,011e8_00797,2,2,0.1,0.25833675107913645,2,2,8,3,3
837,0.027231138297541726,011e8_00837,2,2,0.01,0.8708478123901408,2,4,128,1,1
831,0.027235716656666364,011e8_00831,2,2,0.01,0.692990011862391,2,4,32,1,1
909,0.027239051831197257,011e8_00909,2,2,0.001,0.5598272560752768,2,4,64,3,1
663,0.02725117527378349,011e8_00663,2,2,0.1,0.4241631722743804,2,1,16,3,1
828,0.027252211440134615,011e8_00828,2,2,0.01,0.1343113865763913,2,4,16,1,1
665,0.027254456146413128,011e8_00665,2,2,0.1,0.1889663735304768,2,1,16,3,3
765,0.027263458613374602,011e8_00765,2,2,0.001,0.7491793968149758,2,2,8,3,1
742,0.027267615788055793,011e8_00742,2,2,0.01,0.5684369410252021,2,2,32,2,2
911,0.027269395272752347,011e8_00911,2,2,0.001,0.30408323315034186,2,4,64,3,3
836,0.027278971873161216,011e8_00836,2,2,0.01,0.3328101932612622,2,4,64,1,3
787,0.027280589528568124,011e8_00787,2,2,0.01,0.11894248445095733,2,2,32,3,2
812,0.02728075952703918,011e8_00812,2,2,0.001,0.6226973155931242,2,4,8,1,3
822,0.027283144969935905,011e8_00822,2,2,0.001,0.412800947514941,2,4,128,1,1
865,0.027292770037958724,011e8_00865,2,2,0.001,0.7965424970187637,2,4,64,2,2
834,0.027294850298133836,011e8_00834,2,2,0.01,0.391890273443411,2,4,64,1,1
932,0.02729526919037191,011e8_00932,2,2,0.1,0.8380008426785334,2,4,8,3,3
845,0.027297214141176286,011e8_00845,2,2,0.1,0.8671109029550509,2,4,16,1,3
877,0.027299888571061085,011e8_00877,2,2,0.01,0.8796483700898683,2,4,32,2,2
784,0.027299934995291212,011e8_00784,2,2,0.01,0.816780457919307,2,2,16,3,2
705,0.02730184036041548,011e8_00705,2,2,0.1,0.21230686524319964,2,2,8,1,1
874,0.027307570109087357,011e8_00874,2,2,0.01,0.8943427890313425,2,4,16,2,2
872,0.027308518356610995,011e8_00872,2,2,0.01,0.32862409700379147,2,4,8,2,3
1047,0.027308700096005698,011e8_01047,2,2,0.001,0.6940059088650641,2,8,128,3,1
1060,0.02730891150211128,011e8_01060,2,2,0.01,0.8653956716163114,2,8,64,3,2
973,0.027309400072908562,011e8_00973,2,2,0.01,0.12365592615184218,2,8,128,1,2
925,0.027309843808055245,011e8_00925,2,2,0.01,0.5498698774589378,2,4,64,3,2
1058,0.027310167210912867,011e8_01058,2,2,0.01,0.23240734947216204,2,8,32,3,3
1012,0.027310605745085644,011e8_01012,2,2,0.01,0.6766179918452161,2,8,32,2,2
972,0.02731236571496467,011e8_00972,2,2,0.01,0.4183843355297012,2,8,128,1,1
974,0.02731330276268401,011e8_00974,2,2,0.01,0.45147453453449715,2,8,128,1,3
1013,0.027313833691299035,011e8_01013,2,2,0.01,0.1026831095230584,2,8,32,2,3
499,0.027315257683678512,011e8_00499,2,2,0.001,0.49415775683855934,1,8,16,3,2
1056,0.02731621364610657,011e8_01056,2,2,0.01,0.8685521608924859,2,8,32,3,1
451,0.027316537580883343,011e8_00451,2,2,0.001,0.18826239819174254,1,8,8,2,2
1014,0.027316804812009477,011e8_01014,2,2,0.01,0.4254285846922309,2,8,64,2,1
1057,0.02731700927145899,011e8_01057,2,2,0.01,0.36996827017390066,2,8,32,3,2
